state,date,gdp,gdp_growth_rate,unemployment_rate,edu_attainment
"North Carolina","2016","477523.8","1.7","5.07","27.91",
"North Dakota","2016","51137.3","-7.1","3.1","26.96",
"Ohio","2016","585044.7","0.9","5.02","25.41",
"Oklahoma","2016","188063.3","-2.7","4.8","22.76",
"Oregon","2016","201059.5","4.8","4.81","30.12",
"Pennsylvania","2016","691316.2","1.3","5.38","28.62",
"Rhode Island","2016","53030.2","0.1","5.19","31.35",
"South Carolina","2016","196477.4","3.2","5.02","24.97",
"South Dakota","2016","45733.6","0.8","2.98","26.39",
"Tennessee","2016","308157.4","1.7","4.71","24.15",
"Texas","2016","1606579.8","0.7","4.61","26.18",
"Utah","2016","147555.5","4.2","3.45","28.37",
"Vermont","2016","29206.3","1.1","3.23","33.15",
"Virginia","2016","460185","1","4.09","34.93",
"Washington","2016","463974","3.9","5.25","32.4",
"West Virginia","2016","69276.4","-1.5","6.1","19.38",
"Wisconsin","2016","291320.5","1.1","4","27.26",
"Wyoming","2016","38079.7","-4.6","5.35","24.63",
"Alabama","2017","193693","1.1","4.41","23.15",
"Alaska","2017","52825.9","-0.9","6.92","25.86",
"Arizona","2017","302117.8","3.7","4.86","26.68",
"Arkansas","2017","114950.7","1.3","3.7","21.46",
"California","2017","2628314.6","4.3","4.79","30.73",
"Colorado","2017","328510.2","4","2.81","37.75",
"Connecticut","2017","248077.1","0.9","4.71","36.03",
"Delaware","2017","61851.1","-1.7","4.48","29.01",
"District of Columbia","2017","120210.9","0.7","6.06","52.8",
"Florida","2017","901903.5","3.6","4.21","27.55",
"Georgia","2017","519452.6","3.7","4.69","28.09",
"Hawaii","2017","81039.5","2.5","2.43","30.2",
"Idaho","2017","68412.2","4.2","3.21","24.25",
"Illinois","2017","752459.2","0.8","4.93","31.77",
"Indiana","2017","322969.3","2","3.57","24.66",
"Iowa","2017","168976.5","-0.3","3.12","26.58",
"Kansas","2017","154456.6","1.3","3.65","30.59",
"Kentucky","2017","184600.8","0.6","4.9","22.15",
"Louisiana","2017","228819.3","1.5","5.12","21.76",
"Maine","2017","55964.7","1.6","3.38","29.84",
"Maryland","2017","365857","1.6","4.23","36.71",
"Massachusetts","2017","490874.1","2.4","3.75","40.17",
"Michigan","2017","457341.5","1.4","4.61","26.8",
"Minnesota","2017","327667.5","1.8","3.4","33.55",
"Mississippi","2017","101071.7","0.7","5.09","19.89",
"Missouri","2017","279264.3","1.1","3.74","26.83",
"Montana","2017","45480.6","2","3.94","29.59",
"Nebraska","2017","113754.2","1.9","2.92","29.06",
"Nevada","2017","143590.9","3.6","5.01","22.82",
"New Hampshire","2017","74253.6","1.7","2.71","34.09",
"New Jersey","2017","540656.6","0.1","4.62","37.07",
"New Mexico","2017","91772.3","0.1","5.86","24.36",
"New York","2017","1424905.5","1.9","4.69","33.72",
"North Carolina","2017","489026.6","2.4","4.47","28.67",
"North Dakota","2017","51291.2","0.3","2.67","28.22",
"Ohio","2017","592725.7","1.3","4.97","25.86",
"Oklahoma","2017","188157.2","0","4.22","23.15",
"Oregon","2017","209581.3","4.2","4.12","30.88",
"Pennsylvania","2017","695560.8","0.6","4.87","29.26",
"Rhode Island","2017","52727.7","-0.6","4.41","30.41",
"South Carolina","2017","202644.5","3.1","4.28","25.68",
"South Dakota","2017","46023.9","0.6","3.21","26.08",
"Tennessee","2017","314849.9","2.2","3.77","25.18",
"Texas","2017","1651329.5","2.8","4.31","26.8",
"Utah","2017","153986","4.4","3.27","30.12",
"Vermont","2017","29312.4","0.4","2.94","34.84",
"Virginia","2017","468125.4","1.7","3.7","35.55",
"Washington","2017","489435","5.5","4.7","32.73",
"West Virginia","2017","69743.2","0.7","5.2","18.67",
"Wisconsin","2017","294151.7","1","3.28","28",
"Wyoming","2017","37866.3","-0.6","4.16","25.04",
"Alabama","2018","198053.7","2.3","3.87","23.39",
"Alaska","2018","52928.7","0.2","6.45","27.13",
"Arizona","2018","314016.1","3.9","4.74","27.08",
"Arkansas","2018","116698.8","1.5","3.64","21.37",
"California","2018","2708966.9","3.1","4.25","31.41",
"Colorado","2018","342865.6","4.4","3.15","38.41",
"Connecticut","2018","249043.3","0.4","4.14","36.76",
"Delaware","2018","63162.6","2.1","3.78","28.85",
"District of Columbia","2018","122661.9","2","5.69","55.73",
"Florida","2018","936580.3","3.8","3.59","28.21",
"Georgia","2018","538730.8","3.7","3.95","29.05",
"Hawaii","2018","82203.9","1.4","2.51","30.81",
"Idaho","2018","72455.4","5.9","2.91","25.06",
"Illinois","2018","769631.2","2.3","4.32","32.65",
"Indiana","2018","332156.8","2.8","3.49","24.95",
"Iowa","2018","172844.7","2.3","2.62","26.82",
"Kansas","2018","158192.7","2.4","3.29","30.77",
"Kentucky","2018","187507.4","1.6","4.33","22.86",
"Louisiana","2018","235021.9","2.7","4.87","22.2",
"Maine","2018","57302.7","2.4","3.24","29.58",
"Maryland","2018","368810.4","0.8","3.94","37.8",
"Massachusetts","2018","507806","3.4","3.36","41.26",
"Michigan","2018","467828","2.3","4.14","27.31",
"Minnesota","2018","337215.9","2.9","2.94","34.09",
"Mississippi","2018","102061.7","1","4.84","21.02",
"Missouri","2018","284696.3","1.9","3.16","27.28",
"Montana","2018","46627.5","2.5","3.64","29.35",
"Nebraska","2018","115087.9","1.2","2.92","29.95",
"Nevada","2018","149663","4.2","4.44","22.84",
"New Hampshire","2018","76165.3","2.6","2.57","34.2",
"New Jersey","2018","549000.8","1.5","4.1","38.26",
"New Mexico","2018","93870.9","2.3","4.89","25.01",
"New York","2018","1467076.8","3","4.14","34.87",
"North Carolina","2018","501955","2.6","3.98","29.4",
"North Dakota","2018","53472.8","4.3","2.57","26.81",
"Ohio","2018","606141.5","2.3","4.48","26.84",
"Oklahoma","2018","193204.7","2.7","3.43","23.29",
"Oregon","2018","219279.9","4.6","4.05","31.34",
"Pennsylvania","2018","708856.9","1.9","4.25","29.69",
"Rhode Island","2018","53135.5","0.8","3.98","31.78",
"South Carolina","2018","209012.5","3.1","3.46","25.94",
"South Dakota","2018","47287","2.7","3.07","26.9",
"Tennessee","2018","323316.8","2.7","3.51","25.45",
"Texas","2018","1715231","3.9","3.85","27.49",
"Utah","2018","162574.4","5.6","3.04","30.4",
"Vermont","2018","29565.4","0.9","2.55","35.51",
"Virginia","2018","478835","2.3","3.03","36.13",
"Washington","2018","524486.9","7.2","4.45","33.88",
"West Virginia","2018","71858.7","3","5.21","19.94",
"Wisconsin","2018","303767.4","3.3","3","27.88",
"Wyoming","2018","38696.3","2.2","3.9","24.64",
"Alabama","2019","200829.4","1.4","3","24.11",
"Alaska","2019","53255.2","0.6","6.14","27.05",
"Arizona","2019","323597.6","3.1","4.7","27.7",
"Arkansas","2019","117447.1","0.6","3.55","21.6",
"California","2019","2800505.4","3.4","4.04","32.19",
"Colorado","2019","356280.2","3.9","2.75","39.27",
"Connecticut","2019","251329.8","0.9","3.73","37.03",
"Delaware","2019","64319.3","1.8","3.78","30.72",
"District of Columbia","2019","123929.3","1","5.49","55.07",
"Florida","2019","963255.9","2.8","3.1","28.65",
"Georgia","2019","547422.7","1.6","3.42","29.64",
"Hawaii","2019","82471.4","0.3","2.71","30.92",
"Idaho","2019","74937.1","3.4","2.91","26.13",
"Illinois","2019","773135.5","0.5","3.97","33.28",
"Indiana","2019","337636.1","1.6","3.32","24.86",
"Iowa","2019","173515.4","0.4","2.75","26.86",
"Kansas","2019","160059.3","1.2","3.17","30.91",
"Kentucky","2019","190811.5","1.8","4.29","23.27",
"Louisiana","2019","239967.2","2.1","4.83","23.02",
"Maine","2019","58793.3","2.6","3.03","31.21",
"Maryland","2019","374039.3","1.4","3.58","38.09",
"Massachusetts","2019","519961.6","2.4","2.9","41.81",
"Michigan","2019","471648.1","0.8","4.08","27.8",
"Minnesota","2019","341041.4","1.1","3.23","34.75",
"Mississippi","2019","102656.4","0.6","5.42","20.28",
"Missouri","2019","287659.3","1","3.29","28.05",
"Montana","2019","47916.3","2.8","3.48","30.71",
"Nebraska","2019","117395.2","2","3.05","30.81",
"Nevada","2019","153728.6","2.7","3.89","23.67",
"New Hampshire","2019","77240.3","1.4","2.54","34.76",
"New Jersey","2019","556731","1.4","3.56","38.77",
"New Mexico","2019","98765.7","5.2","4.86","25.24",
"New York","2019","1490678.5","1.6","3.96","35.58",
"North Carolina","2019","511539.9","1.9","3.87","29.65",
"North Dakota","2019","53930.2","0.9","2.37","27.97",
"Ohio","2019","615474.4","1.5","4.11","27.04",
"Oklahoma","2019","197900.4","2.4","3.29","23.94",
"Oregon","2019","225336.8","2.8","3.74","31.94",
"Pennsylvania","2019","726165.9","2.4","4.38","30.2",
"Rhode Island","2019","53668","1","3.56","32.01",
"South Carolina","2019","214933.7","2.8","2.85","27.23",
"South Dakota","2019","47559.7","0.6","3.29","27.38",
"Tennessee","2019","328406.3","1.6","3.39","26.69",
"Texas","2019","1764357.2","2.9","3.51","27.98",
"Utah","2019","168792.7","3.8","2.61","30.33",
"Vermont","2019","29806.2","0.8","2.38","35.28",
"Virginia","2019","489168.4","2.2","2.79","36.4",
"Washington","2019","548686.7","4.6","4.25","34.16",
"West Virginia","2019","72340.4","0.7","4.91","19.88",
